location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,gdp,total_cases,total_deaths,total_tests,tests_per_million,cases_per_million,deaths_per_million
Afghanistan,Asia,38928341.0,64.83,0.5,1803.987,70226221095.567,38243.0,1409.0,,,982.3948058819152,36.19470965896029
Albania,Europe,2877800.0,78.57,2.89,11803.431,33967913731.800003,9728.0,296.0,,,3380.3599972200986,102.85634859962471
Algeria,Africa,43851043.0,76.88,1.9,13913.839,610136352284.077,45158.0,1525.0,,,1029.804467820754,34.77682389447384
Andorra,Europe,77265.0,83.73,,,,1199.0,53.0,,,15518.022390474342,685.9509480359801
Angola,Africa,32866268.0,61.15,,5819.495,191265082294.66,2729.0,109.0,,,83.03346154178503,3.3164702484626485
Anguilla,North America,15002.0,81.88,,,,3.0,0.0,,,199.97333688841488,0.0
Antigua and Barbuda,North America,97928.0,77.02,3.8,21490.943,2104565066.1039999,94.0,3.0,,,959.8888979658525,30.634752062739974
Argentina,South America,45195777.0,76.67,5.0,18933.907,855732638510.739,428226.0,8971.0,1118923.0,24757.246678157564,9474.91178213398,198.49199627655477
Armenia,Asia,2963234.0,75.09,4.2,8787.58,26039655833.72,44075.0,884.0,,,14873.951905249467,298.32271093001765
Aruba,North America,106766.0,76.29,,35973.781,3840776702.2460003,2211.0,12.0,,,20708.839892849785,112.39533184721728
Australia,Oceania,25499881.0,83.44,3.84,44648.71,1138536791803.51,25923.0,663.0,6255797.0,245326.51740610084,1016.5929793946882,26.000121333899557
Austria,Europe,9006400.0,81.54,7.37,45436.686,409220968790.4,28183.0,734.0,1210568.0,134411.9737075857,3129.2192218866585,81.4976017054539
Azerbaijan,Asia,10139175.0,73.0,4.7,15847.419,160679754539.325,36732.0,538.0,,,3622.779959907981,53.061516346251054
Bahamas,North America,393248.0,73.92,2.9,27717.847,10899987897.056,2337.0,47.0,,,5942.814712344373,119.51745463422573
Bahrain,Asia,1701583.0,77.29,2.0,43290.705,73662727686.015,52440.0,190.0,1118837.0,657527.1379650596,30818.361490447423,111.66073003785299
Bangladesh,Asia,164689383.0,72.59,0.8,3523.984000000001,580362750661.8722,317528.0,4351.0,1514126.0,9193.828845663962,1928.0417123185166,26.419432271477998
Barbados,North America,287371.0,79.19,5.8,16978.068,4879004379.228,176.0,7.0,,,612.4487161195806,24.358755754756046
Belarus,Europe,9449321.0,74.79,11.0,17167.967,162225631100.407,72141.0,691.0,1534792.0,162423.52228271216,7634.516808138913,73.12694742828612
Belgium,Europe,11589616.0,81.63,5.64,42658.576,494396514946.81604,85817.0,9898.0,2281853.0,196887.7139673998,7404.645675922308,854.0403754533369
Belize,North America,397621.0,74.62,1.3,7824.361999999999,3111130642.8019996,1101.0,13.0,,,2768.968439795685,32.694450242819165
Benin,Africa,12123198.0,61.77,0.5,2064.236,25025141746.727997,2194.0,40.0,,,180.97534990354856,3.299459433063784
Bermuda,North America,62273.0,82.59,,50669.315,3155330252.9950004,172.0,9.0,,,2762.0316991312447,144.52491448942558
Bhutan,Asia,771612.0,71.78,1.7,8708.597,6719657948.363999,227.0,0.0,,,294.189307579457,0.0
Bolivia,South America,11673029.0,71.51,1.1,6885.8290000000015,80378481606.04102,117928.0,5203.0,238965.0,20471.55027199881,10102.604902292283,445.7283537974591
Bonaire Sint Eustatius and Saba,North America,26221.0,77.79,,,,18.0,0.0,,,686.4726745738149,0.0
Bosnia and Herzegovina,Europe,3280815.0,77.4,3.5,11713.895,38431122424.425,20517.0,627.0,,,6253.629052537251,191.11105015064854
Botswana,Africa,2351625.0,69.59,1.8,15807.374,37173015882.75,1724.0,6.0,,,733.1100834529315,2.551427204592569
Brazil,South America,212559409.0,75.88,2.2,14103.452,2997821421979.8677,3997865.0,123780.0,4797948.0,22572.26825466004,18808.224104537287,582.3313142538893
British Virgin Islands,North America,30237.0,79.07,,,,47.0,1.0,,,1554.38700929325,33.07206402751596
Brunei,Asia,437483.0,75.86,2.7,71809.25099999999,31415326555.232994,144.0,3.0,,,329.1556471908623,6.857409316476297
Bulgaria,Europe,6948445.0,75.05,7.454,18563.307,128986117707.615,16454.0,642.0,415797.0,59840.2952027396,2368.011835741666,92.39477321904397
Burkina Faso,Africa,20903278.0,61.58,0.4,1703.102,35600414568.356,1378.0,55.0,,,65.92267490295063,2.631166269711382
Burundi,Africa,11890781.0,61.58,0.8,702.225,8350003687.725,448.0,1.0,,,37.676246833576364,0.08409876525351867
Cambodia,Asia,16718971.0,69.82,0.8,3645.07,60941819622.97,274.0,0.0,,,16.388568411297562,0.0
Cameroon,Africa,26545864.0,59.29,1.3,3364.926,89324867966.064,19460.0,415.0,,,733.0708844134815,15.6333205052207
Canada,North America,37742157.0,82.43,2.5,44017.59099999999,1661318830283.7866,129923.0,9135.0,5545473.0,146930.47352857972,3442.384069357774,242.0370409672134
Cape Verde,Africa,555988.0,72.98,2.1,6222.554,3459665353.352,4048.0,41.0,,,7280.732677683691,73.74259876112434
Cayman Islands,North America,65720.0,83.92,,49903.029,3279627065.88,205.0,1.0,,,3119.2939744370055,15.216068167985393
Central African Republic,Africa,4829764.0,53.28,1.0,661.24,3193633147.36,4712.0,62.0,,,975.6170280783906,12.837066158926191
Chad,Africa,16425859.0,54.24,,1768.1529999999998,29043431868.427,1017.0,77.0,,,61.91457019081924,4.687730486423876
Chile,South America,19116209.0,80.18,2.11,22767.037,435219437602.73303,414739.0,11344.0,2458762.0,128621.84128662749,21695.67198182443,593.4230997369824
China,Asia,1439323774.0,76.91,4.34,15308.712,22034193130919.086,89953.0,4727.0,,,62.496709652765034,3.284181144915904
Colombia,South America,50882884.0,77.29,1.71,13254.949,674450032392.916,633339.0,20348.0,2647702.0,52035.218758433584,12446.994946277024,399.89871643281856
Comoros,Africa,869595.0,64.32,2.2,1413.89,1229511674.5500002,427.0,7.0,,,491.0331821135126,8.049724296942829
Congo,Africa,5518092.0,64.57,,4881.406,26936047397.352,4628.0,102.0,,,838.6956940913635,18.484650129066353
Costa Rica,North America,5094114.0,80.28,1.13,15524.995,79086094379.43001,43305.0,453.0,131623.0,25838.251754868463,8500.987610406833,88.92616066307114
Cote d'Ivoire,Africa,26378275.0,57.78,,3601.006,94988326544.65,18161.0,117.0,127804.0,4845.047676544429,688.4832309921707,4.435468202526511
Croatia,Europe,4105268.0,78.49,5.54,22669.797,93065592190.596,10725.0,191.0,175346.0,42712.43680071557,2612.4969185933783,46.525586149308644
Cuba,North America,11326616.0,78.8,5.2,,,4126.0,98.0,403181.0,35595.89201223031,364.27473130544905,8.652187025674747
Curacao,North America,164100.0,78.88,,,,68.0,1.0,,,414.38147471054236,6.0938452163315056
Cyprus,Europe,875899.0,80.98,3.4,32415.132,28392381703.668003,1495.0,21.0,,,1706.8177952024148,23.975367022910177
Czech Republic,Europe,10708982.0,79.38,6.63,32605.906000000006,349176060447.6921,25773.0,425.0,910872.0,85056.82426210072,2406.671334399479,39.686311920218
Democratic Republic of Congo,Africa,89561404.0,60.68,,808.133,72377526098.73201,10113.0,258.0,,,112.91694355305104,2.8807051751890804
Denmark,Europe,5792203.0,80.9,2.5,46682.515,270394603430.54498,17195.0,626.0,2447911.0,422621.7554875062,2968.645953879724,108.07632260126242
Djibouti,Africa,988002.0,67.11,1.4,2705.406,2672946538.812,5387.0,60.0,,,5452.418112513942,60.728622006838044
Dominica,North America,71991.0,75.0,3.8,9673.367,696395363.697,20.0,0.0,,,277.8125043408204,0.0
Dominican Republic,North America,10847904.0,74.08,1.6,14600.861,158388738445.344,95627.0,1765.0,,,8815.251314908392,162.70424222043263
Ecuador,South America,17643060.0,77.01,1.5,10581.936000000003,186697731764.16006,115457.0,6619.0,258266.0,14638.390392596295,6544.046214205472,375.16167830297013
Egypt,Africa,102334403.0,71.99,1.6,10550.206,1079649032537.0181,99280.0,5461.0,,,970.1527256674376,53.36426304260552
El Salvador,North America,6486201.0,73.32,1.3,7292.458,47300348372.058,25904.0,739.0,310444.0,47862.22320276538,3993.709106455381,113.9341811948165
Equatorial Guinea,Africa,1402985.0,58.74,2.1,22604.873,31714297745.905,4965.0,83.0,,,3538.8831669618708,59.15957761487115
Eritrea,Africa,3546427.0,66.32,0.7,1510.4589999999996,5356732579.992999,319.0,0.0,,,89.94968738958958,0.0
Estonia,Europe,1326539.0,78.74,4.69,29481.252,39108030546.828,2415.0,64.0,151940.0,114538.66037862438,1820.5269502065148,48.245848783940765
Ethiopia,Africa,114963583.0,66.6,0.3,1729.927,198878606248.44098,54409.0,846.0,869430.0,7562.655732467907,473.27160984535425,7.358852063613918
Faeroe Islands,Europe,48865.0,80.67,,,,411.0,0.0,,,8410.928067123708,0.0
Falkland Islands,South America,3483.0,81.44,,,,13.0,0.0,,,3732.4145851277635,0.0
Fiji,Oceania,896444.0,67.44,2.3,8702.975,7801729720.900001,29.0,2.0,8408.0,9379.280802816462,32.35004082798256,2.231037298481556
Finland,Europe,5540718.0,81.91,3.28,40585.721,224874034887.67798,8161.0,336.0,688714.0,124300.49679481973,1472.9137992585077,60.64196012141387
France,Europe,65273512.0,82.66,5.98,38605.671,2519927729286.5522,293024.0,30686.0,,,4489.171656643816,470.11412531318985
French Polynesia,Oceania,280904.0,77.66,,,,596.0,0.0,,,2121.7212998034915,0.0
Gabon,Africa,2225728.0,66.47,6.3,16562.413,36863426361.664,8538.0,53.0,,,3836.048250280358,23.812433504902664
Gambia,Africa,2416664.0,62.05,1.1,1561.767,3774266085.288,3067.0,97.0,,,1269.1048486674192,40.13797532466243
Georgia,Asia,3989175.0,73.77,2.6,9745.079,38874825519.825,1548.0,19.0,,,388.05016074752297,4.762889569898538
Germany,Europe,83783945.0,81.33,8.0,45229.245,3789484575471.5254,246116.0,9321.0,11208091.0,133773.73194828676,2937.5078960533547,111.25043109392855
Ghana,Africa,31072945.0,64.07,0.9,4227.63,131364914470.35,44658.0,276.0,442185.0,14230.54686319562,1437.1988236068387,8.882325122385407
Gibraltar,Europe,33691.0,79.93,,,,295.0,0.0,,,8756.04760915378,0.0
Greece,Europe,10423056.0,82.24,4.21,24574.382,256140159751.39203,10757.0,273.0,966346.0,92712.34847054453,1032.0389720634716,26.19193449598659
Greenland,North America,56772.0,71.7,,,,14.0,0.0,,,246.60043683505953,0.0
Grenada,North America,112519.0,72.4,3.7,13593.877,1529569446.163,24.0,0.0,,,213.2973097876803,0.0
Guam,Oceania,168783.0,80.07,,,,1447.0,13.0,,,8573.13828999366,77.02197496193337
Guatemala,North America,17915567.0,74.3,0.6,7423.808000000001,133001729619.13602,75664.0,2790.0,,,4223.366193210631,155.7304884629105
Guernsey,Europe,67052.0,,,,,252.0,13.0,,,3758.2771580266062,193.87937719978524
Guinea,Africa,13132792.0,61.6,0.3,1998.926,26251479381.392,9479.0,59.0,,,721.7810196034476,4.492570962823442
Guinea-Bissau,Africa,1967998.0,58.32,,1548.675,3047789302.65,2205.0,34.0,,,1120.4279679146016,17.276440321585692
Guyana,South America,786559.0,69.91,1.6,7435.047,5848103133.273,1382.0,41.0,,,1757.0201345353623,52.12577823151219
Haiti,North America,11402533.0,64.0,0.7,1653.1729999999998,18850359687.208996,8258.0,206.0,,,724.2250471890763,18.066161264343634
Honduras,North America,9904608.0,75.27,0.7,4541.795,44984699091.36,62526.0,1924.0,,,6312.819245345197,194.25301839305504
